Trained Epochs,BC Loss,QL Loss,Actor Loss,Critic Loss
50,0.01755694275079295,-0.9965735761201382,0.012574074979983271,8.131375505452453
Trained Epochs,BC Loss,QL Loss,Actor Loss,Critic Loss
50,0.01755694275079295,-0.9965735761201382,0.012574074979983271,8.131375505452453
0.65,0.1625
100,0.006775126830437221,-0.999976412961483,0.0017752448775852098,1.4396158138275146
1.59,0.3975
150,0.004749742023842409,-0.9999789987444878,-0.00025015285842120647,2.666097971857786
2.06,0.515
200,0.003473428087681532,-0.9999784398567677,-0.0015264639987982809,3.1449631682622434
2.9,0.725
250,0.0026285104544321075,-1.0000090842390061,-0.0023715348543878645,0.6917180766132474
2.13,0.5325
